Model,Accuracy (%),Precision (%),Recall (%),F1-Score (%),Error Rate (%),Inference (ms),FPS,Size (MB)
ResNet-50,99.22406967537609,99.26612412237297,99.22406967537609,99.21829106250513,0.7759303246239113,0.12047753737360371,8300.302461354071,93.76212692260742
ViT-B/16,97.59303246239112,97.5274302675733,97.59303246239112,97.42424854332651,2.4069675376088675,0.1252393560660225,7984.71048887244,329.3468437194824
DenseNet-121,97.1021377672209,96.98169542190624,97.1021377672209,96.8025680321589,2.8978622327790973,0.8765880854412382,1140.786666632186,29.077800750732422
MobileNetV3-Large,5.7007125890736345,0.3249812402322262,5.7007125890736345,0.6149083242146842,94.29928741092637,0.08177447717550189,12228.754429744999,17.188823699951172
EfficientNet-B0,4.98812351543943,0.24881376205279815,4.98812351543943,0.47398458743994587,95.01187648456056,0.10355264876043963,9656.92342948577,17.87368392944336
